4.8	0.02845974	0.09071795	0.18704174	0.30844104	0.44077298	0.56970875	0.68435495	0.77872292	0.85138258
4.9	0.02685670	0.08629359	0.17926778	0.29771287	0.42820597	0.55670151	0.67216533	0.76820889	0.84293690
5	0.02534732	0.08208500	0.17179712	0.28729750	0.41588023	0.54381313	0.65996323	0.75757614	0.83430826
5.1	0.02392585	0.07808167	0.16461939	0.27718991	0.40379849	0.53105294	0.64776110	0.74683651	0.82550530
5.2	0.02258689	0.07427358	0.15772444	0.26738488	0.39196292	0.51842959	0.63557088	0.73600165	0.81653680
5.3	0.02132543	0.07065121	0.15110238	0.25787693	0.38037506	0.50595102	0.62340404	0.72508310	0.80741171
5.4	0.02013675	0.06720551	0.14474357	0.24866040	0.36903589	0.49362452	0.61127156	0.71409218	0.79813906
5.5	0.01901648	0.06392786	0.13863861	0.23972948	0.35794590	0.48145671	0.59918389	0.70304000	0.78872801
5.6	0.01796048	0.06081006	0.13277835	0.23107824	0.34710508	0.46945369	0.58715100	0.69193744	0.77918772
5.7	0.01696491	0.05784432	0.12715390	0.22270064	0.33651301	0.45762089	0.57518238	0.68079513	0.76952741
5.8	0.01602618	0.05502322	0.12175661	0.21459056	0.32616882	0.44596321	0.56328696	0.66962343	0.75975628
5.9	0.01514089	0.05233971	0.11657810	0.20674184	0.31607132	0.43448500	0.55147330	0.65843243	0.74988353
6	0.01430588	0.04978707	0.11161021	0.19914827	0.30621895	0.42319008	0.53974936	0.64723191	0.73991830
6.1	0.01351819	0.04735892	0.10684507	0.19180364	0.29660979	0.41208184	0.52812269	0.63603135	0.72986966
6.2	0.01277503	0.04504920	0.10227502	0.18470173	0.28724170	0.40116315	0.51660035	0.62483995	0.71974659
6.3	0.01207380	0.04285213	0.09789265	0.17783633	0.27811227	0.39043644	0.50518896	0.61366657	0.70955798
6.4	0.01141204	0.04076220	0.09369078	0.17120126	0.26921881	0.37990374	0.49389467	0.60251973	0.69931257
6.5	0.01078745	0.03877421	0.08966250	0.16479038	0.26055847	0.36956667	0.48272322	0.59140766	0.68901903
6.6	0.01019788	0.03688317	0.08580108	0.15859762	0.25212816	0.35942647	0.47167991	0.58033821	0.67868579
6.7	0.00964129	0.03508435	0.08210006	0.15261694	0.24392465	0.34948402	0.46076959	0.56931895	0.66832118
